name,mean,percent_growth,rent_growth_rate
University of Arkansas at Pine Bluff,2642.25,-0.092307692,0.003903147
West Virginia University at Parkersburg,2512.5,-0.106348259,-0.010911151
University of Southern Indiana,7909.25,-0.034832633,-0.001313042
State College of Florida-Manatee-Sarasota,4791.75,-0.062628476,0.065685115
Clarion University of Pennsylvania,4818,-0.06430054,-0.014503665
Gordon State College,3096,-0.100710594,0.022366257
Vincennes University,6470,-0.048655332,0.019958979
The University of Texas at Brownsville,6333.75,-0.051422933,-0.030990422
CUNY Queens College,11328,-0.029731638,0.062657953
Baker College of Muskegon,3157.75,-0.12771752,-0.057268672
Robert Morris University Illinois,3263.25,-0.123956179,0.068870685
Florida State College at Jacksonville,9953.75,-0.041501947,0.006073713
Eastern Florida State College,6548.75,-0.063477763,0.040695545
Broward College,13649,-0.032354019,0.067774232
Baker College of Clinton Township,2960.5,-0.149839554,0.022010338
Wayne State University,12790.5,-0.034853993,-0.003140956
Valencia College,17310.75,-0.029351703,0.041844008
Eastern Illinois University,8195.25,-0.067758763,0.003588769
Daytona State College,7413.25,-0.108521903,0.043672325
